Tweet Text;Tweet Datetime;Twitter @ Name;Place Info;Retweets;Language
Yo en mi local vendo lo que se me canta el orto. Y por eso no prohibo que la gente tenga un Huawei (no tengo fundas… https://t.co/CFaC6QAUlD;12/03/2021 3:05;Juancruzn15;No Registra - Latam;0;es
Este reloj inteligente de Huawei es tan bonito como un Apple Watch y lo tienes en Amazon por mucho menos https://t.co/FwzMYISHWu;12/03/2021 3:00;trendencias;No Registra - Latam;0;es
@ValuJim433 Yo apoyo en Deezer, es que mi cel no me permite tener Spotify, por aquello del pleito de Huawei con USA… https://t.co/f0zMtvTZ5E;12/03/2021 2:58;gaby_nuz_min;No Registra - Latam;0;es
RT @F0RJUM1N: por lo que veo tengo 1239 dias con seungmin espero q sea asi pq no puedo revisar mis historias anteriores jaja maldito huawei…;12/03/2021 2:57;MINTHROB;No Registra - Latam;1;es
@nach0lvp No le mientas a la gente solo para pelearme a mi, ahora tenés un Huawei;12/03/2021 2:56;hijadelF;No Registra - Latam;0;es
por lo que veo tengo 1239 dias con seungmin espero q sea asi pq no puedo revisar mis historias anteriores jaja maldito huawei!!;12/03/2021 2:56;F0RJUM1N;No Registra - Latam;1;es
Seguimos por #salud #huawei #runner #5k mejorando tiempo #instarunners #nike #DueleTodo🏃🏃🏃🏃 https://t.co/UiTWf9olM9;12/03/2021 2:54;jhondrumer;No Registra - Latam;0;es
primero en un call center en turnos de 6 a 2 y de 2 a 10. Después en Huawei, todo el día. Parce, esas situaciones a… https://t.co/5Wy6swfZtq;12/03/2021 2:54;eddymadrigall;No Registra - Latam;0;es
@CortinaTomas @flamarojo @rck110 @Telefonia_MX Creo que el principal problema que va a tener telefónica es adaptar… https://t.co/M37yok4gGQ;12/03/2021 2:46;Exbloguero;Hermosillo, Sonora;0;es
RT @HuaweiMobileMx: No les pasa que acaban de comprar el modelo más nuevo de HUAWEI FreeBuds y de pronto ya sacamos otro más nuevo. 🤡;12/03/2021 2:43;Sinmantul;No Registra - Latam;4;es
@natilongueira Cualquier Huawei desde el Nova 5 T hacia arriba;12/03/2021 2:41;plopezfelipe;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 2:36;JMonroy68;No Registra - Latam;0;es
@cesarsalza @Huawei Los últimos diseños están siendo muy raros pero el que más destaca es el xiaomi m11 ultra por la pantallita trasera;12/03/2021 2:34;RoddyParrales3;No Registra - Latam;0;es
Huawei P50 será el primer smartphone con HarmonyOS preinstalado: abandonará Android por completo, según filtración… https://t.co/iPqnAxlZzV;12/03/2021 2:34;RoudoudouHirons;No Registra - Latam;0;es
RT @HuaweiMobileCo: ¡Las noches con Huawei son las mejores!🌖✨. Compra tus dispositivos favoritos Huawei con los mejores precios solo en Noc…;12/03/2021 2:28;diderg724;No Registra - Latam;1;es
